Country;Articles;Articles %;SCP;MCP;MCP %
CHINA;285;36,1;283;2;0,7
USA;129;16,3;125;4;3,1
ITALY;23;2,9;21;2;8,7
CANADA;22;2,8;21;1;4,5
KOREA;19;2,4;19;0;0
UNITED KINGDOM;18;2,3;18;0;0
FRANCE;16;2;15;1;6,3
GERMANY;16;2;16;0;0
AUSTRALIA;13;1,6;12;1;7,7
SPAIN;13;1,6;13;0;0
IRELAND;12;1,5;12;0;0
JAPAN;12;1,5;12;0;0
DENMARK;11;1,4;10;1;9,1
INDIA;10;1,3;10;0;0
NETHERLANDS;10;1,3;10;0;0
BRAZIL;8;1;7;1;12,5
FINLAND;7;0,9;5;2;28,6
MEXICO;7;0,9;7;0;0
HONG KONG;6;0,8;6;0;0
BELGIUM;5;0,6;5;0;0
POLAND;5;0,6;5;0;0
TURKEY;5;0,6;5;0;0
IRAN;4;0,5;3;1;25
ISRAEL;4;0,5;4;0;0
MALAYSIA;4;0,5;4;0;0
NEW ZEALAND;4;0,5;3;1;25
GREECE;3;0,4;3;0;0
SINGAPORE;3;0,4;3;0;0
SWEDEN;3;0,4;3;0;0
SWITZERLAND;3;0,4;3;0;0
THAILAND;3;0,4;3;0;0
AUSTRIA;2;0,3;1;1;50
PAKISTAN;2;0,3;2;0;0
ROMANIA;2;0,3;2;0;0
ARGENTINA;1;0,1;1;0;0
ARMENIA;1;0,1;1;0;0
BANGLADESH;1;0,1;1;0;0
BOSNIA;1;0,1;1;0;0
CHILE;1;0,1;1;0;0
COLOMBIA;1;0,1;1;0;0
CYPRUS;1;0,1;1;0;0
CZECH REPUBLIC;1;0,1;1;0;0
ECUADOR;1;0,1;1;0;0
EGYPT;1;0,1;1;0;0
FAROE;1;0,1;1;0;0
GEORGIA;1;0,1;1;0;0
JORDAN;1;0,1;1;0;0
LITHUANIA;1;0,1;1;0;0
LUXEMBOURG;1;0,1;1;0;0
MACEDONIA;1;0,1;0;1;100
MONACO;1;0,1;1;0;0
MOROCCO;1;0,1;1;0;0
NORWAY;1;0,1;1;0;0
PORTUGAL;1;0,1;1;0;0
RUSSIA;1;0,1;1;0;0
SAUDI ARABIA;1;0,1;1;0;0
SLOVAKIA;1;0,1;1;0;0
SOUTH AFRICA;1;0,1;1;0;0
TUNISIA;1;0,1;0;1;100
