 ;;
Country;Year;Articles
ITALY;2012;1
ITALY;2013;1
ITALY;2015;1
ITALY;2016;1
ITALY;2018;3
ITALY;2019;4
ITALY;2020;16
ITALY;2021;24
ITALY;2022;32
ITALY;2023;32
FRANCE;2012;0
FRANCE;2013;1
FRANCE;2015;1
FRANCE;2016;2
FRANCE;2018;7
FRANCE;2019;10
FRANCE;2020;14
FRANCE;2021;21
FRANCE;2022;25
FRANCE;2023;25
USA;2012;0
USA;2013;1
USA;2015;2
USA;2016;2
USA;2018;17
USA;2019;39
USA;2020;75
USA;2021;137
USA;2022;168
USA;2023;198
KOREA;2012;0
KOREA;2013;0
KOREA;2015;3
KOREA;2016;3
KOREA;2018;6
KOREA;2019;7
KOREA;2020;11
KOREA;2021;13
KOREA;2022;20
KOREA;2023;23
CANADA;2012;0
CANADA;2013;0
CANADA;2015;0
CANADA;2016;0
CANADA;2018;3
CANADA;2019;6
CANADA;2020;8
CANADA;2021;16
CANADA;2022;21
CANADA;2023;28
CHINA;2012;0
CHINA;2013;0
CHINA;2015;0
CHINA;2016;0
CHINA;2018;12
CHINA;2019;33
CHINA;2020;77
CHINA;2021;155
CHINA;2022;243
CHINA;2023;316
GERMANY;2012;0
GERMANY;2013;0
GERMANY;2015;0
GERMANY;2016;0
GERMANY;2018;1
GERMANY;2019;5
GERMANY;2020;10
GERMANY;2021;15
GERMANY;2022;25
GERMANY;2023;28
JAPAN;2012;0
JAPAN;2013;0
JAPAN;2015;0
JAPAN;2016;0
JAPAN;2018;4
JAPAN;2019;5
JAPAN;2020;9
JAPAN;2021;16
JAPAN;2022;17
JAPAN;2023;20
SPAIN;2012;0
SPAIN;2013;0
SPAIN;2015;0
SPAIN;2016;0
SPAIN;2018;1
SPAIN;2019;5
SPAIN;2020;15
SPAIN;2021;25
SPAIN;2022;27
SPAIN;2023;28
UNITED KINGDOM;2012;0
UNITED KINGDOM;2013;0
UNITED KINGDOM;2015;0
UNITED KINGDOM;2016;0
UNITED KINGDOM;2018;2
UNITED KINGDOM;2019;6
UNITED KINGDOM;2020;14
UNITED KINGDOM;2021;19
UNITED KINGDOM;2022;23
UNITED KINGDOM;2023;26
