Country;TC;Average Article Citations
USA;3959;30,7
CHINA;3596;12,6
UNITED KINGDOM;823;45,7
IRELAND;739;61,6
NETHERLANDS;732;73,2
SPAIN;597;45,9
ITALY;526;22,9
INDIA;491;49,1
CANADA;423;19,2
FRANCE;321;20,1
KOREA;271;14,3
GERMANY;235;14,7
DENMARK;225;20,5
AUSTRALIA;210;16,2
FINLAND;163;23,3
JAPAN;128;10,7
MALAYSIA;105;26,2
BRAZIL;97;12,1
NORWAY;95;95
BELGIUM;94;18,8
HONG KONG;92;15,3
MEXICO;81;11,6
NEW ZEALAND;75;18,8
PAKISTAN;72;36
ISRAEL;63;15,8
POLAND;38;7,6
SWEDEN;38;12,7
ECUADOR;36;36
AUSTRIA;34;17
IRAN;31;7,8
PORTUGAL;30;30
CZECH REPUBLIC;26;26
SWITZERLAND;22;7,3
LITHUANIA;14;14
GREECE;13;4,3
THAILAND;13;4,3
ARMENIA;12;12
ROMANIA;11;5,5
TUNISIA;9;9
TURKEY;8;1,6
SLOVAKIA;7;7
MOROCCO;6;6
SINGAPORE;5;1,7
LUXEMBOURG;3;3
ARGENTINA;2;2
BANGLADESH;2;2
CHILE;2;2
CYPRUS;2;2
JORDAN;2;2
BOSNIA;1;1
FAROE;1;1
COLOMBIA;0;0
EGYPT;0;0
GEORGIA;0;0
MACEDONIA;0;0
MONACO;0;0
RUSSIA;0;0
SAUDI ARABIA;0;0
SOUTH AFRICA;0;0
