 ;
Terms;Frequency
gut microbiota;172
gut microbiome;119
microbiome;84
microbiota;57
bioinformatics;40
inflammation;27
obesity;26
16s rrna;25
metagenomics;25
colorectal cancer;22
diet;22
dysbiosis;21
metabolomics;21
16s rrna gene sequencing;17
short-chain fatty acids;17
probiotics;16
16s rrna gene;15
machine learning;13
intestinal microbiota;12
metabolism;12
metagenome;12
biomarker;11
gastrointestinal microbiome;11
human gut microbiome;11
humans;11
inflammatory bowel disease;11
metabolites;11
16s rrna sequencing;10
metaproteomics;10
ulcerative colitis;10
diversity;9
gut;9
gut-brain axis;9
gut dysbiosis;9
helicobacter pylori;9
meta-analysis;9
metabolome;9
bacteroides;8
bile acids;8
gastric cancer;8
nutrition;8
prebiotics;8
antibiotic resistance;7
antibiotics;7
biomarkers;7
children;7
covid-19;7
fecal microbiota transplantation;7
type 2 diabetes;7
16s rdna;6
